seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
30008182,3,12444.0,4355.4,5,30,95,71,4231.0,6,learned ACO restart 3,10.326,ok,
30008180,4,9717.0,3400.95,5,30,100,65,3326.0,6,learned ACO restart 1,11.963,ok,
30008181,2,6295.0,2203.25,5,30,87,63,2159.0,7,learned ACO restart 2,11.868,ok,
30008179,3,7700.0,2695.0,5,30,80,54,2679.0,7,learned ACO restart 3,12.58,ok,
30008183,4,8918.0,3121.3,5,30,94,53,3092.0,6,learned ACO restart 1,12.921,ok,
30008184,2,7610.0,2663.5,5,30,92,66,2606.0,7,learned ACO restart 2,10.725,ok,
30008186,4,13039.0,4563.65,5,30,92,63,4457.0,8,learned ACO restart 1,10.87,ok,
30008185,3,5915.0,2070.25,5,30,88,64,2068.0,7,learned ACO restart 1,12.736,ok,
30008190,2,7048.0,2466.8,5,30,92,58,2441.0,6,learned ACO restart 1,11.38,ok,
30008189,4,10363.0,3627.05,5,30,90,64,3545.0,9,learned ACO restart 1,11.8,ok,
30008188,3,12640.0,4424.0,5,30,82,58,4259.0,8,learned ACO restart 2,13.008,ok,
30008191,3,7429.0,2600.15,5,30,86,58,2538.0,7,learned ACO restart 1,10.575,ok,
30008187,2,6625.0,2318.75,5,30,83,56,2260.0,8,learned ACO restart 1,14.593,ok,
30008192,4,17111.0,5988.85,5,30,91,63,5877.0,6,learned ACO restart 1,11.824,ok,
30008193,2,8698.0,3044.3,5,30,91,55,2983.0,7,learned ACO restart 1,9.597,ok,
30008194,3,15000.0,5250.0,5,30,91,76,5219.0,9,learned ACO restart 3,10.972,ok,
30008195,4,16275.0,5696.25,5,30,93,69,5544.0,7,learned ACO restart 1,11.277,ok,
30008197,3,7199.0,2519.65,5,30,86,58,2449.0,8,learned ACO restart 2,11.221,ok,
30008196,2,5973.0,2090.55,5,30,92,66,2084.0,6,learned ACO restart 1,12.33,ok,
30008199,2,6624.0,2318.4,5,30,82,61,2295.0,7,learned ACO restart 1,11.115,ok,
30008198,4,13618.0,4766.3,5,30,83,59,4580.0,8,learned ACO restart 1,11.743,ok,
30008200,3,8775.0,3071.25,5,30,94,64,3029.0,8,learned ACO restart 1,9.826,ok,
30008201,4,11381.0,3983.35,5,30,72,59,3840.0,8,learned ACO restart 1,12.249,ok,
30008202,2,6778.0,2372.3,5,30,86,62,2307.0,7,learned ACO restart 1,11.685,ok,
30008203,3,9098.0,3184.3,5,30,80,59,3134.0,7,learned ACO restart 3,11.823,ok,
30008206,3,12917.0,4520.95,5,30,87,59,4433.0,7,learned ACO restart 1,10.544,ok,
30008205,2,8445.0,2955.75,5,30,96,68,2872.0,7,learned ACO restart 2,12.032,ok,
30008204,4,10550.0,3692.5,5,30,92,62,3688.0,9,learned ACO restart 1,12.693,ok,
30008208,2,5459.0,1910.65,5,30,85,59,1844.0,5,learned ACO restart 1,11.772,ok,
30008207,4,15765.0,5517.75,5,30,97,70,5491.0,7,learned ACO restart 2,15.096,ok,
30008209,3,8491.0,2971.85,5,30,85,64,2816.0,8,learned ACO restart 1,12.888,ok,
30008210,4,15871.0,5554.85,5,30,93,65,5446.0,7,learned ACO restart 1,13.464,ok,
30008214,2,9178.0,3212.3,5,30,93,69,3171.0,8,learned ACO restart 2,9.862,ok,
30008212,3,11773.0,4120.55,5,30,94,60,4023.0,10,learned ACO restart 1,13.059,ok,
30008211,2,6931.0,2425.85,5,30,92,65,2379.0,7,learned ACO restart 1,14.012,ok,
30008213,4,15447.0,5406.45,5,30,92,59,5373.0,8,learned ACO restart 3,12.397,ok,
30008215,3,13101.0,4585.35,5,30,100,72,4422.0,8,learned ACO restart 2,11.616,ok,
