seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
24093177,2,6927.0,4156.2,5,30,77,64,4058.0,10,learned ACO restart 1,11.343,ok,
24093176,4,13686.0,8211.6,5,30,96,85,8110.0,10,learned ACO restart 1,12.429,ok,
24093178,3,12141.0,7284.6,5,30,86,75,7153.0,11,learned ACO restart 3,12.421,ok,
24093179,4,18417.0,11050.2,5,30,95,87,10941.0,11,learned ACO restart 3,14.571,ok,
24093180,2,7203.0,4321.8,5,30,97,85,4282.0,12,learned ACO restart 1,14.089,ok,
24093181,3,10419.0,6251.4,5,30,72,65,6185.0,9,learned ACO restart 3,12.825,ok,
24093182,4,13979.0,8387.4,5,30,89,79,8316.0,11,learned ACO restart 2,11.996,ok,
24093183,2,8345.0,5007.0,5,30,95,83,4885.0,11,learned ACO restart 1,11.695,ok,
24093184,3,5589.0,3353.4,5,30,91,80,3311.0,10,learned ACO restart 1,12.347,ok,
24093185,4,13555.0,8133.0,5,30,88,80,8119.0,10,learned ACO restart 1,12.448,ok,
24093186,2,8546.0,5127.6,5,30,94,81,5071.0,11,learned ACO restart 2,11.978,ok,
24093187,3,9750.0,5850.0,5,30,90,81,5685.0,11,learned ACO restart 1,11.77,ok,
24093189,2,6920.0,4152.0,5,30,92,82,4029.0,10,learned ACO restart 2,12.363,ok,
24093188,4,18287.0,10972.2,5,30,94,78,10776.0,10,learned ACO restart 3,13.366,ok,
24093190,3,8850.0,5310.0,5,30,71,65,5203.0,9,learned ACO restart 3,11.653,ok,
24093191,4,14653.0,8791.8,5,30,92,79,8592.0,9,learned ACO restart 1,11.425,ok,
24093192,2,7693.0,4615.8,5,30,72,62,4535.0,9,learned ACO restart 2,11.421,ok,
24093193,3,10619.0,6371.4,5,30,97,92,6361.0,9,learned ACO restart 1 + swap search,12.432,ok,
24093194,4,18643.0,11185.8,5,30,85,76,11044.0,11,learned ACO restart 3,12.609,ok,
24093195,2,6064.0,3638.4,5,30,98,83,3599.0,8,learned ACO restart 3,11.947,ok,
24093196,3,6543.0,3925.8,5,30,98,85,3896.0,9,learned ACO restart 1,10.555,ok,
24093199,3,18043.0,10825.8,5,30,100,87,10753.0,11,learned ACO restart 2,10.497,ok,
24093197,4,11199.0,6719.4,5,30,92,79,6497.0,8,learned ACO restart 1,13.458,ok,
24093198,2,6065.0,3639.0,5,30,91,84,3558.0,9,learned ACO restart 1,15.25,ok,
24093200,4,12815.0,7689.0,5,30,88,78,7452.0,11,learned ACO restart 1,13.984,ok,
24093201,2,6752.0,4051.2,5,30,77,68,3970.0,10,learned ACO restart 1,12.306,ok,
24093202,3,11319.0,6791.4,5,30,95,82,6636.0,10,learned ACO restart 2,12.175,ok,
24093204,2,7398.0,4438.8,5,30,80,71,4250.0,10,learned ACO restart 1,13.252,ok,
24093203,4,15899.0,9539.4,5,30,91,79,9226.0,9,learned ACO restart 1,14.86,ok,
24093205,3,8176.0,4905.6,5,30,86,74,4811.0,11,learned ACO restart 1,13.011,ok,
24093206,4,9128.0,5476.8,5,30,77,66,5300.0,7,learned ACO restart 2,13.321,ok,
24093207,2,7483.0,4489.8,5,30,89,76,4351.0,10,learned ACO restart 1,10.646,ok,
24093208,3,5522.0,3313.2,5,30,94,86,3160.0,8,learned ACO restart 1,14.077,ok,
24093210,2,7175.0,4305.0,5,30,93,79,4293.0,11,learned ACO restart 2,13.135,ok,
24093209,4,13908.0,8344.8,5,30,83,74,7761.0,10,learned ACO restart 1,17.542,ok,
24093211,3,10887.0,6532.2,5,30,83,77,6524.0,11,learned ACO restart 1,13.184,ok,
24093213,2,5834.0,3500.4,5,30,91,74,3405.0,9,learned ACO restart 1,12.125,ok,
24093214,3,6187.0,3712.2,5,30,95,84,3621.0,9,learned ACO restart 1,12.025,ok,
24093215,4,14427.0,8656.2,5,30,97,83,8415.0,10,learned ACO restart 1,12.507,ok,
24093212,4,12415.0,7449.0,5,30,96,82,7284.0,10,learned ACO restart 1,16.087,ok,
24093216,2,7261.0,4356.6,5,30,106,90,4278.0,10,learned ACO restart 2,13.571,ok,
24093217,3,7959.0,4775.4,5,30,92,81,4774.0,9,learned ACO restart 1,13.371,ok,
24093218,4,9864.0,5918.4,5,30,94,80,5780.0,12,learned ACO restart 1,13.463,ok,
24093221,4,17182.0,10309.2,5,30,102,84,10207.0,9,learned ACO restart 3,11.998,ok,
24093220,3,6888.0,4132.8,5,30,84,72,4040.0,8,learned ACO restart 1,13.274,ok,
24093219,2,6777.0,4066.2,5,30,94,83,3837.0,9,learned ACO restart 1,15.426,ok,
24093223,3,15099.0,9059.4,5,30,93,75,8959.0,10,learned ACO restart 3,12.243,ok,
24093222,2,4984.0,2990.4,5,30,104,85,2972.0,9,learned ACO restart 3,13.161,ok,
24093225,2,6108.0,3664.8,5,30,92,83,3664.0,10,learned ACO restart 1,11.871,ok,
24093224,4,15044.0,9026.4,5,30,88,83,8831.0,13,learned ACO restart 1,12.66,ok,
24093226,3,8154.0,4892.4,5,30,86,76,4861.0,10,learned ACO restart 1,13.378,ok,
24093228,2,6765.0,4059.0,5,30,87,77,4020.0,9,learned ACO restart 1,12.633,ok,
24093227,4,16622.0,9973.2,5,30,91,83,9557.0,11,learned ACO restart 1,13.268,ok,
24093230,4,12410.0,7446.0,5,30,91,81,7444.0,9,learned ACO restart 1,12.485,ok,
24093231,2,7968.0,4780.8,5,30,95,84,4663.0,10,learned ACO restart 3,12.654,ok,
24093229,3,12938.0,7762.8,5,30,73,65,7730.0,9,learned ACO restart 1,14.809,ok,
24093233,4,12760.0,7656.0,5,30,96,85,7437.0,10,learned ACO restart 1 + swap search,12.407,ok,
24093232,3,7108.0,4264.8,5,30,106,96,4246.0,9,learned ACO restart 2,13.02,ok,
24093234,2,9869.0,5921.4,5,30,86,72,5892.0,10,learned ACO restart 3,10.92,ok,
24093238,3,7618.0,4570.8,5,30,94,78,4464.0,11,learned ACO restart 3,11.401,ok,
24093237,2,8542.0,5125.2,5,30,100,90,5035.0,9,learned ACO restart 2,12.513,ok,
24093235,3,10378.0,6226.8,5,30,85,76,5998.0,9,learned ACO restart 1,14.219,ok,
24093239,4,11646.0,6987.6,5,30,87,77,6968.0,11,learned ACO restart 1,11.704,ok,
24093236,4,13999.0,8399.4,5,30,79,71,8396.0,10,learned ACO restart 2,14.763,ok,
24093241,3,14272.0,8563.2,5,30,94,80,8485.0,11,learned ACO restart 2,10.884,ok,
24093240,2,6420.0,3852.0,5,30,95,86,3852.0,9,learned ACO restart 3,12.772,ok,
24093242,4,16167.0,9700.2,5,30,79,68,9310.0,9,learned ACO restart 1,11.099,ok,
24093243,2,7391.0,4434.6,5,30,79,67,4339.0,9,learned ACO restart 2,11.571,ok,
24093246,2,8710.0,5226.0,5,30,75,68,5128.0,12,learned ACO restart 2,11.624,ok,
24093244,3,6518.0,3910.8,5,30,84,77,3901.0,11,learned ACO restart 2,13.164,ok,
24093247,3,9360.0,5616.0,5,30,85,77,5543.0,10,learned ACO restart 2,11.881,ok,
24093245,4,16241.0,9744.6,5,30,104,90,9434.0,8,learned ACO restart 1,14.253,ok,
24093249,2,6983.0,4189.8,5,30,80,71,4129.0,9,learned ACO restart 2,11.053,ok,
24093248,4,15882.0,9529.2,5,30,94,85,9368.0,9,learned ACO restart 1,14.804,ok,
24093250,3,6554.0,3932.4,5,30,76,69,3790.0,11,learned ACO restart 1,15.96,ok,
24093251,4,18725.0,11235.0,5,30,81,75,11039.0,9,learned ACO restart 3,12.845,ok,
24093252,2,8831.0,5298.6,5,30,101,91,5202.0,11,learned ACO restart 1,11.498,ok,
24093254,4,10497.0,6298.2,5,30,100,85,6111.0,9,learned ACO restart 2,11.296,ok,
24093253,3,5253.0,3151.8,5,30,78,69,3133.0,8,learned ACO restart 1,12.884,ok,
24093255,2,6992.0,4195.2,5,30,88,79,4186.0,12,learned ACO restart 1 + swap search,12.299,ok,
24093256,3,7902.0,4741.2,5,30,76,68,4725.0,10,learned ACO restart 1,11.956,ok,
24093257,4,11543.0,6925.8,5,30,90,79,6761.0,12,learned ACO restart 2,14.356,ok,
24093260,4,24856.0,14913.6,5,30,94,83,13425.0,9,learned ACO restart 1,10.838,ok,
24093258,2,6175.0,3705.0,5,30,91,81,3669.0,9,learned ACO restart 3,12.186,ok,
24093259,3,7520.0,4512.0,5,30,69,61,4473.0,9,learned ACO restart 1,12.211,ok,
24093261,2,5880.0,3528.0,5,30,97,88,3449.0,10,learned ACO restart 1,12.872,ok,
24093262,3,7743.0,4645.8,5,30,94,83,4569.0,10,learned ACO restart 1,11.73,ok,
24093263,4,13812.0,8287.2,5,30,64,56,7957.0,11,learned ACO restart 1,12.751,ok,
24093264,2,7600.0,4560.0,5,30,90,86,4556.0,11,learned ACO restart 1,14.375,ok,
24093265,3,8099.0,4859.4,5,30,96,80,4758.0,12,learned ACO restart 1,13.402,ok,
24093268,3,7843.0,4705.8,5,30,93,86,4651.0,9,learned ACO restart 1,11.461,ok,
24093267,2,5632.0,3379.2,5,30,94,81,3350.0,9,learned ACO restart 1,13.124,ok,
24093270,2,6878.0,4126.8,5,30,91,86,3972.0,11,learned ACO restart 1,11.598,ok,
